x	y
22	202
22	206
22	210
26	198
26	202
26	206
26	210
26	214
30	190
30	202
30	210
30	214
34	186
34	194
34	198
34	202
34	210
34	214
38	182
38	186
38	190
38	194
38	206
38	210
38	214
42	178
42	182
42	186
42	190
42	194
42	206
42	210
42	214
46	174
46	178
46	182
46	186
46	206
46	214
50	174
50	178
50	182
50	206
50	210
50	214
54	170
54	174
54	178
54	206
54	210
54	214
58	158
58	162
58	170
58	174
58	206
58	210
58	214
62	150
62	154
62	158
62	162
62	166
62	170
62	210
62	214
66	146
66	150
66	154
66	158
66	166
66	210
66	214
66	218
70	142
70	146
70	150
70	154
70	158
70	210
70	214
70	218
74	134
74	138
74	142
74	150
74	210
74	214
74	218
78	134
78	138
78	210
78	214
78	218
82	122
82	126
82	130
82	210
82	214
82	218
86	114
86	118
86	122
86	126
86	130
86	134
86	210
86	214
86	218
90	106
90	110
90	114
90	122
90	126
90	210
90	214
90	218
94	98
94	102
94	106
94	110
94	114
94	118
94	210
94	214
94	218
98	94
98	98
98	102
98	106
98	110
98	214
98	218
102	86
102	90
102	94
102	98
102	102
102	106
102	210
102	214
102	218
106	82
106	86
106	90
106	94
106	98
106	210
106	218
110	70
110	74
110	78
110	82
110	86
110	90
110	94
110	214
110	218
114	66
114	70
114	74
114	78
114	82
114	86
114	210
114	214
114	218
118	58
118	62
118	66
118	70
118	74
118	78
118	210
118	214
118	218
122	54
122	58
122	62
122	66
122	70
122	210
122	214
122	218
126	210
126	214
126	218
130	210
130	214
130	218
134	210
134	214
134	218
138	58
138	214
138	218
142	46
142	58
142	70
142	74
142	214
142	218
142	222
146	58
146	66
146	70
146	74
146	78
146	82
146	214
146	218
146	222
150	62
150	70
150	74
150	214
150	218
150	222
154	82
154	94
154	98
154	214
154	218
154	222
158	94
158	98
158	102
158	106
158	110
158	114
158	214
158	218
158	222
162	94
162	106
162	110
162	114
162	122
162	126
162	218
162	222
166	110
166	118
166	122
166	126
166	130
166	134
166	218
166	222
166	226
170	114
170	122
170	126
170	130
170	134
170	138
170	142
170	146
170	218
170	222
170	226
174	122
174	130
174	134
174	138
174	142
174	146
174	150
174	154
174	222
174	226
178	134
178	142
178	146
178	150
178	154
178	158
178	162
178	166
178	218
178	222
178	226
182	146
182	150
182	154
182	158
182	162
182	166
182	170
182	174
182	178
182	218
182	222
182	226
186	154
186	158
186	162
186	166
186	170
186	174
186	178
186	182
186	186
186	218
186	222
186	226
190	166
190	170
190	174
190	178
190	182
190	186
190	190
190	194
190	218
190	222
190	226
194	174
194	178
194	182
194	186
194	190
194	194
194	198
194	202
194	218
194	222
194	226
198	186
198	190
198	194
198	198
198	202
198	206
198	210
198	214
198	218
198	222
198	226
202	194
202	198
202	202
202	206
202	210
202	214
202	218
202	222
202	226
206	202
206	206
206	210
206	214
206	218
206	222
206	226
210	214
210	218
210	222
