@DATA SEED       4096

@T         23 f 0
@T        149 g 0
@T        172 h 0
@T        195 i 0
@T      13497 e 0
@T      21216 e 1
@T      21342 i 1
@T      21723 i 0
@T      36882 e 0
@T      43414 e 1
@T      43878 i 1
@T      44205 h 1
@T      44228 j 0
@T      44634 b 0
@T      52478 b 1
@T      52559 j 1
@T      52582 k 0
@T      52654 l 0
@T      52914 c 0
@T      64331 c 1
@T      64796 l 1
@T      64869 l 0
@T      65129 c 0
@T      76546 c 1
@T      77011 l 1
@T      77084 l 0
@T      77344 c 0
@T      88687 c 1
@T      89152 l 1
@T      89225 l 0
@T      89485 c 0
@T     100740 c 1
@T     101205 l 1
@T     101278 l 0
@T     101538 c 0
@T     112911 c 1
@T     113376 l 1
@T     113449 l 0
@T     113709 c 0
@T     125163 c 1
@T     125628 l 1
@T     125701 l 0
@T     125961 c 0
@T     137377 c 1
@T     137842 l 1
@T     137915 l 0
@T     138175 c 0
@T     149517 c 1
@T     149982 l 1
@T     150055 l 0
@T     150315 c 0
@T     161569 c 1
@T     162034 l 1
@T     162107 l 0
@T     162367 c 0
@T     174021 c 1
@T     174486 l 1
@T     174559 l 0
@T     174819 c 0
@T     186272 c 1
@T     186737 l 1
@T     186810 l 0
@T     187070 c 0
@T     198442 c 1
@T     198907 l 1
@T     198980 l 0
@T     199240 c 0
@T     210693 c 1
@T     211158 l 1
@T     211231 l 0
@T     211491 c 0
@T     222833 c 1
@T     223298 l 1
@T     223371 l 0
@T     223631 c 0
@T     234885 c 1
@T     235350 l 1
@T     235423 l 0
@T     235683 c 0
@T     247337 c 1
@T     247802 l 1
@T     247875 l 0
@T     248135 c 0
@T     259639 c 1
@T     260104 l 1
@T     260177 l 0
@T     260437 c 0
@T     271735 c 1
@T     272200 l 1
@T     272273 l 0
@T     272533 c 0
@T     283986 c 1
@T     284451 l 1
@T     284524 l 0
@T     284784 c 0
@T     296156 c 1
@T     296621 l 1
@T     296694 l 0
@T     296954 c 0
@T     308407 c 1
@T     308872 l 1
@T     308945 l 0
@T     309205 c 0
@T     320577 c 1
@T     321042 l 1
@T     321115 l 0
@T     321375 c 0
@T     332717 c 1
@T     333182 l 1
@T     333255 l 0
@T     333515 c 0
@T     344769 c 1
@T     345234 l 1
@T     345307 l 0
@T     345567 c 0
@T     357221 c 1
@T     357686 l 1
@T     357759 l 0
@T     358019 c 0
@T     369523 c 1
@T     369988 l 1
@T     370061 l 0
@T     370321 c 0
@T     381774 c 1
@T     382239 l 1
@T     382312 l 0
@T     382572 c 0
@T     393870 c 1
@T     394335 l 1
@T     394408 l 0
@T     394668 c 0
@T     406121 c 1
@T     406586 l 1
@T     406659 l 0
@T     406919 c 0
@T     418291 c 1
@T     418756 l 1
@T     418829 l 0
@T     419089 c 0
@T     430542 c 1
@T     431007 l 1
@T     431080 l 0
@T     431340 c 0
@T     442712 c 1
@T     443177 l 1
@T     443250 l 0
@T     443510 c 0
@T     454764 c 1
@T     455229 l 1
@T     455302 l 0
@T     455562 c 0
@T     467216 c 1
@T     467681 l 1
@T     467754 l 0
@T     468014 c 0
@T     479518 c 1
@T     479983 l 1
@T     480056 l 0
@T     480316 c 0
@T     491820 c 1
@T     492285 l 1
@T     492358 l 0
@T     492618 c 0
@T     504071 c 1
@T     504536 l 1
@T     504609 l 0
@T     504869 c 0
@T     516322 c 1
@T     516787 l 1
@T     516860 l 0
@T     517120 c 0
@T     528492 c 1
@T     528957 l 1
@T     529030 l 0
@T     529290 c 0
@T     540743 c 1
@T     541208 l 1
@T     541281 l 0
@T     541541 c 0
@T     552913 c 1
@T     553378 l 1
@T     553451 l 0
@T     553711 c 0
@T     564965 c 1
@T     565430 l 1
@T     565503 l 0
@T     565763 c 0
@T     577417 c 1
@T     577882 l 1
@T     577955 l 0
@T     578215 c 0
@T     589719 c 1
@T     590184 l 1
@T     590257 l 0
@T     590517 c 0
@T     602021 c 1
@T     602486 l 1
@T     602559 l 0
@T     602819 c 0
@T     614029 c 1
@T     614494 l 1
@T     614567 l 0
@T     614827 c 0
@T     626280 c 1
@T     626745 l 1
@T     626818 l 0
@T     627078 c 0
@T     638376 c 1
@T     638841 l 1
@T     638914 l 0
@T     639174 c 0
@T     650627 c 1
@T     651092 l 1
@T     651165 l 0
@T     651425 c 0
@T     662797 c 1
@T     663262 l 1
@T     663335 l 0
@T     663595 c 0
@T     675048 c 1
@T     675513 l 1
@T     675586 l 0
@T     675846 c 0
@T     687350 c 1
@T     687815 l 1
@T     687888 l 0
@T     688148 c 0
@T     699652 c 1
@T     700117 l 1
@T     700190 l 0
@T     700450 c 0
@T     711850 c 1
@T     712315 l 1
@T     712388 l 0
@T     712648 c 0
@T     724148 c 1
@T     724613 l 1
@T     724686 l 0
@T     724946 c 0
@T     736156 c 1
@T     736621 l 1
@T     736694 l 0
@T     736954 c 0
@T     748407 c 1
@T     748872 l 1
@T     748945 l 0
@T     749205 c 0
@T     760503 c 1
@T     760968 l 1
@T     761041 l 0
@T     761301 c 0
@T     772754 c 1
@T     773219 l 1
@T     773292 l 0
@T     773552 c 0
@T     785056 c 1
@T     785521 l 1
@T     785594 l 0
@T     785854 c 0
@T     797358 c 1
@T     797823 l 1
@T     797896 l 0
@T     798156 c 0
@T     809556 c 1
@T     810021 l 1
@T     810094 l 0
@T     810354 c 0
@T     821740 c 1
@T     822205 l 1
@T     822278 l 0
@T     822538 c 0
@T     834148 c 1
@T     834613 l 1
@T     834686 l 0
@T     834946 c 0
@T     846446 c 1
@T     846911 l 1
@T     846984 l 0
@T     847244 c 0
@T     858454 c 1
@T     858919 l 1
@T     858992 l 0
@T     859252 c 0
@T     870705 c 1
@T     871170 l 1
@T     871243 l 0
@T     871503 c 0
@T     882801 c 1
@T     883266 l 1
@T     883339 l 0
@T     883599 c 0
@T     895052 c 1
@T     895517 l 1
@T     895590 l 0
@T     895850 c 0
@T     907354 c 1
@T     907819 l 1
@T     907892 l 0
@T     908152 c 0
@T     919656 c 1
@T     920121 l 1
@T     920194 l 0
@T     920454 c 0
@T     931854 c 1
@T     932319 l 1
@T     932392 l 0
@T     932652 c 0
@T     944038 c 1
@T     944503 l 1
@T     944576 l 0
@T     944836 c 0
@T     956060 c 1
@T     956525 l 1
@T     956598 l 0
@T     956858 c 0
@T     968363 c 1
@T     968828 l 1
@T     968901 l 0
@T     969161 c 0
@T     980661 c 1
@T     981126 l 1
@T     981199 l 0
@T     981459 c 0
@T     992669 c 1
@T     993134 l 1
@T     993207 l 0
@T     993467 c 0
@T    1004920 c 1
@T    1005385 l 1
@T    1005458 l 0
@T    1005718 c 0
@T    1017016 c 1
@T    1017481 l 1
@T    1017554 l 0
@T    1017814 c 0
@T    1029317 c 1
@T    1029782 l 1
@T    1029855 l 0
@T    1030115 c 0
@T    1041514 c 1
@T    1041979 l 1
@T    1042052 l 0
@T    1042312 c 0
@T    1053697 c 1
@T    1054162 l 1
@T    1054235 l 0
@T    1054495 c 0
@T    1065718 c 1
@T    1066183 l 1
@T    1066256 l 0
@T    1066516 c 0
@T    1078020 c 1
@T    1078485 l 1
@T    1078558 l 0
@T    1078818 c 0
@T    1090427 c 1
@T    1090892 l 1
@T    1090965 l 0
@T    1091225 c 0
@T    1102724 c 1
@T    1103189 l 1
@T    1103262 l 0
@T    1103522 c 0
@T    1114731 c 1
@T    1115196 l 1
@T    1115269 l 0
@T    1115529 c 0
@T    1126981 c 1
@T    1127446 l 1
@T    1127519 l 0
@T    1127779 c 0
@T    1139282 c 1
@T    1139747 l 1
@T    1139820 l 0
