@DATA SEED       4096

@T         23 f 0
@T        149 g 0
@T        172 h 0
@T        195 i 0
@T      13497 e 0
@T      16515 e 1
@T      16627 i 1
@T      16714 i 0
@T      31873 e 0
@T      32346 e 1
@T      32523 i 1
@T      32577 h 1
@T      32600 j 0
@T      33006 b 0
@T      34368 b 1
@T      34449 j 1
@T      34472 k 0
@T      35155 l 0
@T      35337 l 1
@T      35410 l 0
@T      35592 l 1
@T      35665 l 0
@T      35847 l 1
@T      35920 l 0
@T      36102 l 1
@T      36175 l 0
@T      36357 l 1
@T      36430 l 0
@T      36612 l 1
@T      36685 l 0
@T      36867 l 1
@T      36940 l 0
@T      37122 l 1
@T      37195 l 0
@T      37377 l 1
@T      37450 l 0
@T      37632 l 1
@T      37705 l 0
@T      37887 l 1
@T      37960 l 0
@T      38142 l 1
@T      38215 l 0
@T      38397 l 1
@T      38470 l 0
@T      38652 l 1
@T      38725 l 0
@T      38907 l 1
@T      38980 l 0
@T      39162 l 1
@T      39235 l 0
@T      39417 l 1
@T      39490 l 0
@T      39672 l 1
@T      39745 l 0
@T      39927 l 1
@T      40000 l 0
@T      40182 l 1
@T      40255 l 0
@T      40437 l 1
@T      40510 l 0
@T      40692 l 1
@T      40765 l 0
@T      40947 l 1
@T      41020 l 0
@T      41202 l 1
@T      41275 l 0
@T      41457 l 1
@T      41530 l 0
@T      41712 l 1
@T      41785 l 0
@T      41967 l 1
@T      42040 l 0
@T      42222 l 1
@T      42295 l 0
@T      42477 l 1
@T      42550 l 0
@T      42732 l 1
@T      42805 l 0
@T      42987 l 1
@T      43060 l 0
@T      43242 l 1
@T      43315 l 0
@T      43497 l 1
@T      43570 l 0
@T      43752 l 1
@T      43825 l 0
@T      44007 l 1
@T      44080 l 0
@T      44262 l 1
@T      44335 l 0
@T      44517 l 1
@T      44590 l 0
@T      44772 l 1
@T      44845 l 0
@T      45027 l 1
@T      45100 l 0
@T      45282 l 1
@T      45355 l 0
@T      45537 l 1
@T      45610 l 0
@T      45792 l 1
@T      45865 l 0
@T      46047 l 1
@T      46120 l 0
@T      46302 l 1
@T      46375 l 0
@T      46557 l 1
@T      46630 l 0
@T      46812 l 1
@T      46885 l 0
@T      47067 l 1
@T      47140 l 0
@T      47322 l 1
@T      47395 l 0
@T      47577 l 1
@T      47650 l 0
@T      47832 l 1
@T      47905 l 0
@T      48087 l 1
@T      48160 l 0
@T      48342 l 1
@T      48415 l 0
@T      48597 l 1
@T      48670 l 0
@T      48852 l 1
@T      48925 l 0
@T      49107 l 1
@T      49180 l 0
@T      49362 l 1
@T      49435 l 0
@T      49617 l 1
@T      49690 l 0
@T      49872 l 1
@T      49945 l 0
@T      50127 l 1
@T      50200 l 0
@T      50382 l 1
@T      50455 l 0
@T      50637 l 1
@T      50710 l 0
@T      50892 l 1
@T      50965 l 0
@T      51147 l 1
@T      51220 l 0
@T      51402 l 1
@T      51475 l 0
@T      51657 l 1
@T      51730 l 0
@T      51912 l 1
@T      51985 l 0
@T      52167 l 1
@T      52240 l 0
@T      52422 l 1
@T      52495 l 0
@T      52677 l 1
@T      52750 l 0
@T      52932 l 1
@T      53005 l 0
@T      53187 l 1
@T      53260 l 0
@T      53442 l 1
@T      53515 l 0
@T      53697 l 1
@T      53770 l 0
@T      53952 l 1
@T      54025 l 0
@T      54207 l 1
@T      54280 l 0
@T      54462 l 1
@T      54535 l 0
@T      54717 l 1
@T      54790 l 0
@T      54972 l 1
@T      55045 l 0
@T      55227 l 1
@T      55300 l 0
@T      55482 l 1
@T      55555 l 0
@T      55737 l 1
@T      55810 l 0
@T      55992 l 1
@T      56065 l 0
@T      56247 l 1
@T      56320 l 0
@T      56502 l 1
@T      56575 l 0
@T      56757 l 1
@T      56830 l 0
@T      57012 l 1
@T      57085 l 0
@T      57267 l 1
@T      57340 l 0
@T      57522 l 1
@T      57595 l 0
@T      57777 l 1
@T      57850 l 0
@T      58032 l 1
@T      58105 l 0
@T      58287 l 1
@T      58360 l 0
@T      58542 l 1
@T      58615 l 0
@T      58797 l 1
@T      58870 l 0
@T      59052 l 1
@T      59125 l 0
@T      59307 l 1
@T      59380 l 0
@T      59562 l 1
@T      59635 l 0
@T      59817 l 1
@T      59890 l 0
@T      60072 l 1
@T      60145 l 0
@T      60327 l 1
@T      60400 l 0
@T      60582 l 1
@T      60655 l 0
@T      60837 l 1
@T      60910 l 0
@T      61092 l 1
@T      61165 l 0
@T      61347 l 1
@T      61420 l 0
@T      61602 l 1
@T      61675 l 0
@T      61857 l 1
@T      61930 l 0
@T      62112 l 1
@T      62185 l 0
@T      62367 l 1
@T      62440 l 0
@T      62622 l 1
@T      62695 l 0
@T      62877 l 1
@T      62950 l 0
@T      63132 l 1
@T      63205 l 0
@T      63387 l 1
@T      63460 l 0
@T      63642 l 1
@T      63715 l 0
@T      63897 l 1
@T      63970 l 0
@T      64152 l 1
@T      64225 l 0
@T      64407 l 1
@T      64480 l 0
@T      64662 l 1
@T      64735 l 0
@T      64917 l 1
@T      64990 l 0
@T      65172 l 1
@T      65245 l 0
@T      65427 l 1
@T      65500 l 0
@T      65682 l 1
@T      65755 l 0
@T      65937 l 1
@T      66010 l 0
@T      66192 l 1
@T      66265 l 0
@T      66447 l 1
@T      66520 l 0
@T      66702 l 1
@T      66775 l 0
@T      66957 l 1
@T      67030 l 0
@T      67252 l 1
@T      67325 l 0
@T      67507 l 1
@T      67580 l 0
@T      67762 l 1
@T      67835 l 0
@T      68017 l 1
@T      68090 l 0
@T      68272 l 1
@T      68345 l 0
@T      68527 l 1
@T      68600 l 0
@T      68782 l 1
@T      68855 l 0
@T      69037 l 1
@T      69110 l 0
@T      69332 l 1
@T      69405 l 0
@T      69627 l 1
@T      69700 l 0
@T      69882 l 1
@T      69955 l 0
@T      70137 l 1
@T      70210 l 0
@T      70392 l 1
@T      70465 l 0
@T      70647 l 1
@T      70720 l 0
@T      70902 l 1
@T      70975 l 0
@T      71157 l 1
@T      71230 l 0
@T      71412 l 1
@T      71485 l 0
@T      71707 l 1
@T      71780 l 0
@T      72002 l 1
@T      72075 l 0
@T      72297 l 1
@T      72370 l 0
@T      72552 l 1
@T      72625 l 0
@T      72807 l 1
@T      72880 l 0
@T      73062 l 1
@T      73135 l 0
@T      73317 l 1
@T      73390 l 0
@T      73572 l 1
@T      73645 l 0
@T      73827 l 1
@T      73900 l 0
@T      74082 l 1
@T      74155 l 0
@T      74377 l 1
@T      74450 l 0
@T      74672 l 1
@T      74745 l 0
@T      74967 l 1
@T      75040 l 0
@T      75262 l 1
@T      75335 l 0
@T      75517 l 1
@T      75590 l 0
@T      75772 l 1
@T      75845 l 0
@T      76027 l 1
@T      76100 l 0
@T      76282 l 1
@T      76355 l 0
@T      76537 l 1
@T      76610 l 0
@T      76792 l 1
@T      76865 l 0
@T      77087 l 1
@T      77160 l 0
@T      77382 l 1
@T      77455 l 0
@T      77677 l 1
@T      77750 l 0
@T      77972 l 1
@T      78045 l 0
@T      78227 l 1
@T      78300 l 0
@T      78482 l 1
@T      78555 l 0
@T      78737 l 1
@T      78810 l 0
@T      78992 l 1
@T      79065 l 0
@T      79247 l 1
@T      79320 l 0
@T      79542 l 1
@T      79615 l 0
@T      79837 l 1
@T      79910 l 0
@T      80132 l 1
@T      80205 l 0
@T      80427 l 1
@T      80500 l 0
@T      80722 l 1
@T      80795 l 0
@T      80977 l 1
@T      81050 l 0
@T      81232 l 1
@T      81305 l 0
@T      81487 l 1
@T      81560 l 0
@T      81742 l 1
@T      81815 l 0
